Building,Months,Consumption (Gallon),Bill($)
Community Hall,1,64.9,97.35
Community Hall,2,46.9,70.35
Community Hall,3,65.5,98.3
Community Hall,4,70.1,105.15
Community Hall,5,81.3,121.95
Community Hall,6,167.1,250.65
Community Hall,7,141.5,212.25
Community Hall,8,53,108.65
Community Hall,9,73.4,150.47
Community Hall,10,153.8,315.29
Community Hall,11,221,453.05
Community Hall,12,371.1,760.75
Roxbury Free Library,1,22.9,52.84
Roxbury Free Library,2,39.5,50.56
Roxbury Free Library,3,51.6,49.09
Roxbury Free Library,4,23.6,46.27
Roxbury Free Library,5,43.4,43.92
Roxbury Free Library,6,56.9,39.44
Roxbury Free Library,7,98.5,42.58
Roxbury Free Library,8,74,42.63
Roxbury Free Library,9,74.3,48.48
Roxbury Free Library,10,65.5,44.41
Roxbury Free Library,11,59.9,50.84
Roxbury Free Library,12,38.4,54.44
Fire Station,1,87.6,215.94
Fire Station,2,68.8,151.71
Fire Station,3,134.4,305.76
Fire Station,4,104.5,169.3
Fire Station,5,77.2,125.06
Fire Station,6,130.6,211.57
Fire Station,7,76.6,124.09
Fire Station,8,19.2,40.6
Fire Station,9,38,89.3
Fire Station,10,186,437.1
Fire Station,11,205.9,483.87
Fire Station,12,187.9,441.57
